"","MUNID","LT1NAME"
"1",1000,"Stormont, Dundas and Glengarry UCo"
"2",10000,"Frontenac Co"
"3",10002,"Frontenac Islands Tp"
"4",10005,"Kingston C"
"5",10013,"South Frontenac Tp"
"6",1002,"South Glengarry Tp"
"7",10025,"Central Frontenac Tp"
"8",10041,"North Frontenac Tp"
"9",1009,"South Stormont Tp"
"10",1012,"Cornwall C"
"11",1016,"South Dundas Tp"
"12",1026,"North Dundas Tp"
"13",1037,"North Stormont Tp"
"14",1047,"North Glengarry Tp"
"15",11000,"Lennox and Addington Co"
"16",11002,"Loyalist Tp"
"17",11010,"Greater Napanee T"
"18",11023,"Stone Mills Tp"
"19",11033,"Addington Highlands Tp"
"20",12000,"Hastings Co"
"21",12001,"Tyendinaga Tp"
"22",12002,"Deseronto T"
"23",12005,"Belleville C"
"24",12010,"Quinte West C"
"25",12017,"Stirling-Rawdon Tp"
"26",12023,"Centre Hastings M"
"27",12027,"Tweed M"
"28",12036,"Madoc Tp"
"29",12039,"Marmora and Lake M"
"30",12048,"Tudor and Cashel Tp"
"31",12051,"Limerick Tp"
"32",12054,"Wollaston Tp"
"33",12058,"Faraday Tp"
"34",12061,"Bancroft T"
"35",12067,"Carlow/Mayo Tp"
"36",12073,"Hastings Highlands M"
"37",13002,"Prince Edward County C"
"38",14000,"Northumberland Co"
"39",14005,"Brighton M"
"40",14010,"Cramahe Tp"
"41",14015,"Alnwick-Haldimand Tp"
"42",14019,"Hamilton Tp"
"43",14021,"Cobourg T"
"44",14022,"Port Hope M"
"45",14028,"Trent Hills M"
"46",15000,"Peterborough Co"
"47",15002,"Asphodel-Norwood Tp"
"48",15005,"Otonabee-South Monaghan Tp"
"49",15012,"Cavan Monaghan Tp"
"50",15014,"Peterborough C"
"51",15017,"Selwyn Tp"
"52",15021,"Douro-Dummer Tp"
"53",15030,"Havelock-Belmont-Methuen Tp"
"54",15035,"North Kawartha Tp"
"55",15041,"Trent Lakes M"
"56",16002,"Kawartha Lakes C"
"57",18000,"Durham R"
"58",18001,"Pickering C"
"59",18005,"Ajax T"
"60",18009,"Whitby T"
"61",18013,"Oshawa C"
"62",18017,"Clarington M"
"63",18020,"Scugog Tp"
"64",18029,"Uxbridge Tp"
"65",18039,"Brock Tp"
"66",19000,"York R"
"67",19028,"Vaughan C"
"68",19036,"Markham C"
"69",19038,"Richmond Hill T"
"70",19044,"Whitchurch - Stouffville T"
"71",19046,"Aurora T"
"72",19048,"Newmarket T"
"73",19049,"King Tp"
"74",19054,"East Gwillimbury T"
"75",19070,"Georgina T"
"76",2000,"Prescott and Russell UCo"
"77",20002,"Toronto C"
"78",2001,"East Hawkesbury Tp"
"79",2005,"Champlain Tp"
"80",2008,"Hawkesbury T"
"81",2011,"The Nation M"
"82",2030,"Alfred and Plantagenet Tp"
"83",2036,"Clarence-Rockland C"
"84",2044,"Casselman V"
"85",2048,"Russell Tp"
"86",21000,"Peel R"
"87",21005,"Mississauga C"
"88",21010,"Brampton C"
"89",21024,"Caledon T"
"90",22000,"Dufferin Co"
"91",22001,"East Garafraxa Tp"
"92",22005,"Grand Valley T"
"93",22008,"Amaranth Tp"
"94",22012,"Mono T"
"95",22014,"Orangeville T"
"96",22016,"Mulmur Tp"
"97",22019,"Melancthon Tp"
"98",22021,"Shelburne T"
"99",23000,"Wellington Co"
"100",23001,"Puslinch Tp"
"101",23005,"Guelph/Eramosa Tp"
"102",23008,"Guelph C"
"103",23010,"Centre Wellington Tp"
"104",23015,"Erin T"
"105",23020,"Wellington North Tp"
"106",23023,"Mapleton Tp"
"107",23040,"Minto T"
"108",24000,"Halton R"
"109",24001,"Oakville T"
"110",24002,"Burlington C"
"111",24009,"Milton T"
"112",24015,"Halton Hills T"
"113",25005,"Hamilton C"
"114",26000,"Niagara R"
"115",26003,"Fort Erie T"
"116",26011,"Port Colborne C"
"117",26014,"Wainfleet Tp"
"118",26021,"West Lincoln Tp"
"119",26028,"Pelham T"
"120",26032,"Welland C"
"121",26037,"Thorold C"
"122",26043,"Niagara Falls C"
"123",26047,"Niagara-on-the-Lake T"
"124",26053,"St. Catharines C"
"125",26057,"Lincoln T"
"126",26065,"Grimsby T"
"127",28005,"Haldimand County"
"128",28030,"Norfolk County"
"129",29002,"Brant County"
"130",29006,"Brantford C"
"131",30000,"Waterloo R"
"132",30001,"North Dumfries Tp"
"133",30006,"Cambridge C"
"134",30012,"Kitchener C"
"135",30016,"Waterloo C"
"136",30018,"Wilmot Tp"
"137",30024,"Wellesley Tp"
"138",30029,"Woolwich Tp"
"139",31000,"Perth Co"
"140",31002,"Perth East Tp"
"141",31008,"Perth South Tp"
"142",31011,"Stratford C"
"143",31016,"St. Marys ST"
"144",31017,"West Perth M"
"145",31035,"North Perth M"
"146",32000,"Oxford Co"
"147",32002,"Norwich Tp"
"148",32004,"Tillsonburg T"
"149",32011,"South-West Oxford Tp"
"150",32018,"Ingersoll T"
"151",32027,"Zorra Tp"
"152",32038,"East Zorra - Tavistock Tp"
"153",32042,"Woodstock C"
"154",32045,"Blandford - Blenheim Tp"
"155",34000,"Elgin Co"
"156",34003,"Bayham M"
"157",34007,"Malahide Tp"
"158",34011,"Aylmer T"
"159",34015,"Central Elgin M"
"160",34021,"St. Thomas C"
"161",34024,"Southwold Tp"
"162",34028,"Dutton-Dunwich M"
"163",34035,"West Elgin M"
"164",36003,"Chatham-Kent M"
"165",37000,"Essex Co"
"166",37001,"Pelee Tp"
"167",37003,"Leamington M"
"168",37008,"Kingsville T"
"169",37020,"Essex T"
"170",37025,"Amherstburg T"
"171",37034,"LaSalle T"
"172",37039,"Windsor C"
"173",37043,"Tecumseh T"
"174",37049,"Lakeshore T"
"175",38000,"Lambton Co"
"176",38002,"St. Clair Tp"
"177",38005,"Dawn-Euphemia Tp"
"178",38011,"Brooke-Alvinston M"
"179",38016,"Enniskillen Tp"
"180",38018,"Oil Springs V"
"181",38019,"Petrolia T"
"182",38030,"Sarnia C"
"183",38031,"Point Edward V"
"184",38033,"Plympton-Wyoming T"
"185",38037,"Lambton Shores M"
"186",38040,"Warwick Tp"
"187",39000,"Middlesex Co"
"188",39002,"Newbury V"
"189",39003,"Southwest Middlesex M"
"190",39010,"Adelaide-Metcalfe Tp"
"191",39013,"Strathroy-Caradoc Tp"
"192",39020,"Middlesex Centre M"
"193",39025,"Thames Centre M"
"194",39036,"London C"
"195",39041,"North Middlesex M"
"196",39057,"Lucan Biddulph Tp"
"197",40000,"Huron Co"
"198",40003,"South Huron M"
"199",40010,"Bluewater M"
"200",40015,"Huron East M"
"201",40025,"Central Huron M"
"202",40028,"Goderich T"
"203",40030,"Ashfield-Colborne-Wawanosh Tp"
"204",40046,"Howick Tp"
"205",40048,"Morris-Turnberry M"
"206",40050,"North Huron Tp"
"207",41000,"Bruce Co"
"208",41004,"South Bruce M"
"209",41010,"Huron-Kinloss Tp"
"210",41020,"Kincardine M"
"211",41030,"Brockton M"
"212",41037,"Arran-Elderslie M"
"213",41043,"Saugeen Shores T"
"214",41053,"The South Bruce Peninsula T"
"215",41061,"Northern Bruce Peninsula M"
"216",42000,"Grey Co"
"217",42004,"West Grey M"
"218",42005,"Southgate Tp"
"219",42013,"Grey Highlands M"
"220",42029,"Hanover T"
"221",42031,"Chatsworth Tp"
"222",42041,"The Blue Mountains T"
"223",42047,"Meaford M"
"224",42055,"Georgian Bluffs Tp"
"225",42059,"Owen Sound C"
"226",43000,"Simcoe Co"
"227",43002,"Adjala-Tosorontio Tp"
"228",43013,"Bradford-West Gwillimbury T"
"229",43017,"Innisfil T"
"230",43021,"Essa Tp"
"231",43025,"New Tecumseth T"
"232",43030,"Clearview Tp"
"233",43031,"Collingwood T"
"234",43040,"Springwater Tp"
"235",43042,"Barrie C"
"236",43047,"Oro-Medonte Tp"
"237",43050,"Ramara Tp"
"238",43052,"Orillia C"
"239",43064,"Wasaga Beach T"
"240",43068,"Tiny Tp"
"241",43070,"Tay Tp"
"242",43072,"Penetanguishene T"
"243",43074,"Midland T"
"244",43080,"Severn Tp"
"245",44000,"Muskoka D"
"246",44002,"Gravenhurst T"
"247",44018,"Bracebridge T"
"248",44027,"Lake of Bays Tp"
"249",44042,"Huntsville T"
"250",44053,"Muskoka Lakes Tp"
"251",44065,"Georgian Bay Tp"
"252",46000,"Haliburton Co"
"253",46002,"Highlands East M"
"254",46011,"Minden Hills Tp"
"255",46020,"Algonquin Highlands Tp"
"256",46024,"Dysart et al Tp"
"257",47000,"Renfrew Co"
"258",47002,"Arnprior T"
"259",47003,"McNab-Braeside Tp"
"260",47007,"Greater Madawaska Tp"
"261",47015,"Bonnechere Valley Tp"
"262",47018,"Brudenell, Lyndoch and Raglan Tp"
"263",47023,"Madawaska Valley Tp"
"264",47030,"Killaloe, Hagarty and Richards Tp"
"265",47041,"Admaston/Bromley Tp"
"266",47046,"Horton Tp"
"267",47048,"Renfrew T"
"268",47050,"Whitewater Region Tp"
"269",47063,"Laurentian Valley Tp"
"270",47064,"Pembroke C"
"271",47068,"North Algona-Wilberforce Tp"
"272",47077,"Petawawa T"
"273",47091,"Laurentian Hills T"
"274",47096,"Deep River T"
"275",47098,"Head, Clara and Maria Tp"
"276",48001,"South Algonquin Tp"
"277",48017,"Papineau-Cameron Tp"
"278",48019,"Mattawan Tp"
"279",48021,"Mattawa T"
"280",48022,"Calvin Tp"
"281",48026,"Bonfield Tp"
"282",48031,"Chisholm Tp"
"283",48034,"East Ferris M"
"284",48044,"North Bay C"
"285",48050,"West Nipissing M"
"286",48069,"Temagami M"
"287",49003,"Seguin Tp"
"288",49005,"The Archipelago Tp"
"289",49012,"McMurrich-Monteith Tp"
"290",49014,"Perry Tp"
"291",49018,"Kearney T"
"292",49019,"Armour Tp"
"293",49022,"Burk's Falls V"
"294",49024,"Ryerson Tp"
"295",49028,"McKellar Tp"
"296",49031,"McDougall Tp"
"297",49032,"Parry Sound T"
"298",49036,"Carling Tp"
"299",49039,"Whitestone M"
"300",49041,"Magnetawan M"
"301",49046,"Strong Tp"
"302",49048,"Sundridge V"
"303",49051,"Joly Tp"
"304",49054,"Machar Tp"
"305",49056,"South River V"
"306",49058,"Powassan M"
"307",49066,"Callander M"
"308",49071,"Nipissing Tp"
"309",51001,"Tehkummah Tp"
"310",51009,"Central Manitoulin M"
"311",51011,"Assiginack Tp"
"312",51015,"Northeastern Manitoulin & The Isl. T"
"313",51021,"Billings Tp"
"314",51025,"Gordon/Barrie Island M"
"315",51026,"Gore Bay T"
"316",51028,"Burpee and Mills Tp"
"317",51034,"Cockburn Island Tp"
"318",52001,"French River M"
"319",52003,"Killarney M"
"320",52004,"St.-Charles M"
"321",52007,"Markstay-Warren M"
"322",52019,"Sables-Spanish Rivers Tp"
"323",52026,"Espanola T"
"324",52028,"Baldwin Tp"
"325",52031,"Nairn and Hyman Tp"
"326",52092,"Chapleau Tp"
"327",53005,"Greater Sudbury C"
"328",54001,"Coleman Tp"
"329",54006,"Latchford T"
"330",54008,"Cobalt T"
"331",54010,"Temiskaming Shores C"
"332",54014,"Harris Tp"
"333",54021,"Hudson Tp"
"334",54024,"Kerns Tp"
"335",54026,"Harley Tp"
"336",54029,"Casey Tp"
"337",54032,"Brethour Tp"
"338",54034,"Hilliard Tp"
"339",54036,"Armstrong Tp"
"340",54038,"Thornloe V"
"341",54042,"James Tp"
"342",54047,"Charlton/Dack M"
"343",54049,"Evanturel Tp"
"344",54052,"Englehart T"
"345",54054,"Chamberlain Tp"
"346",54056,"Matachewan Tp"
"347",54058,"McGarry Tp"
"348",54062,"Larder Lake Tp"
"349",54066,"Gauthier Tp"
"350",54068,"Kirkland Lake T"
"351",56014,"Black River - Matheson Tp"
"352",56027,"Timmins C"
"353",56031,"Iroquois Falls T"
"354",56037,"Cochrane T"
"355",56048,"Smooth Rock Falls T"
"356",56052,"Fauquier-Strickland Tp"
"357",56056,"Moonbeam Tp"
"358",56065,"Moosonee T"
"359",56066,"Kapuskasing T"
"360",56070,"Val Rita-Harty Tp"
"361",56073,"Opasatika Tp"
"362",56076,"Hearst T"
"363",56077,"Mattice - Val Cote Tp"
"364",57001,"Jocelyn Tp"
"365",57004,"Hilton Tp"
"366",57006,"Hilton Beach V"
"367",57008,"St. Joseph Tp"
"368",57011,"Laird Tp"
"369",57014,"Tarbutt and Tarbutt Additional Tp"
"370",57016,"Johnson Tp"
"371",57019,"Plummer Additional Tp"
"372",57021,"Bruce Mines T"
"373",57023,"Huron Shores M"
"374",57028,"Thessalon T"
"375",57038,"Blind River T"
"376",57039,"Spanish T"
"377",57040,"The North Shore Tp"
"378",57041,"Elliot Lake C"
"379",57051,"Macdonald Meredith et al Tp"
"380",57061,"Sault Ste. Marie C"
"381",57066,"Prince Tp"
"382",57076,"Wawa M"
"383",57079,"Dubreuilville Tp"
"384",57091,"White River Tp"
"385",57096,"Hornepayne Tp"
"386",58001,"Neebing M"
"387",58004,"Thunder Bay C"
"388",58007,"Oliver Paipoonge M"
"389",58012,"Gillies Tp"
"390",58016,"O'Connor Tp"
"391",58019,"Conmee Tp"
"392",58028,"Shuniah M"
"393",58034,"Dorion Tp"
"394",58041,"Red Rock Tp"
"395",58044,"Nipigon Tp"
"396",58051,"Schreiber Tp"
"397",58054,"Terrace Bay Tp"
"398",58058,"Greenstone M"
"399",58059,"Marathon T"
"400",58066,"Manitouwadge Tp"
"401",59001,"Atikokan Tp"
"402",59011,"Alberton Tp"
"403",59012,"Fort Frances T"
"404",59016,"La Vallee Tp"
"405",59019,"Emo Tp"
"406",59024,"Chapple Tp"
"407",59031,"Morley Tp"
"408",59040,"Dawson Tp"
"409",59042,"Rainy River T"
"410",59045,"Lake of The Woods Tp"
"411",60001,"Ignace Tp"
"412",60008,"Sioux Narrows-Nestor Falls Tp"
"413",60011,"Kenora C"
"414",60021,"Machin Tp"
"415",60025,"Dryden C"
"416",60034,"Sioux Lookout M"
"417",60040,"Red Lake M"
"418",60042,"Ear Falls Tp"
"419",60049,"Pickle Lake Tp"
"420",6005,"Ottawa C"
"421",7000,"Leeds and Grenville UCo"
"422",7003,"Edwardsburgh/Cardinal Tp"
"423",7006,"Augusta Tp"
"424",7008,"Prescott ST"
"425",7011,"Elizabethtown-Kitley Tp"
"426",7015,"Brockville C"
"427",7017,"Front of Yonge Tp"
"428",7019,"Leeds and the Thousand Islands Tp"
"429",7024,"Gananoque ST"
"430",7030,"Rideau Lakes Tp"
"431",7033,"Westport V"
"432",7040,"Athens Tp"
"433",7050,"Merrickville-Wolford V"
"434",7055,"North Grenville M"
"435",9000,"Lanark Co"
"436",9001,"Montague Tp"
"437",9004,"Smiths Falls ST"
"438",9007,"Drummond-North Elmsley Tp"
"439",9010,"Tay Valley Tp"
"440",9021,"Perth T"
"441",9024,"Beckwith Tp"
"442",9028,"Carleton Place T"
"443",9030,"Mississippi Mills T"
"444",9033,"Lanark Highlands Tp"
